Number_of_Riders,Number_of_Drivers,Location_Category,Customer_Loyalty_Status,Number_of_Past_Rides,Average_Ratings,Time_of_Booking,Vehicle_Type,Expected_Ride_Duration,Historical_Cost_of_Ride
63,53,Rural,Gold,33,4.33,Afternoon,Economy,175,489.7125243
55,13,Suburban,Silver,45,3.71,Morning,Premium,40,222.568582
100,66,Suburban,Gold,27,3.53,Evening,Premium,106,412.2556068
51,27,Urban,Gold,86,3.82,Evening,Premium,152,472.2157353
37,10,Urban,Silver,33,4.86,Afternoon,Economy,44,179.9398803
99,71,Suburban,Gold,3,4.63,Morning,Premium,100,308.9111533
54,24,Rural,Silver,85,3.79,Evening,Economy,102,306.3142432
30,7,Rural,Gold,57,4.27,Morning,Premium,69,224.4648783
84,56,Urban,Silver,71,4.56,Evening,Premium,15,101.0737865
49,14,Suburban,Silver,55,4.43,Morning,Premium,131,633.4966221
86,10,Urban,Silver,98,4.8,Morning,Economy,18,62.87509274
48,24,Rural,Gold,17,3.98,Afternoon,Economy,29,92.03104706
67,18,Urban,Silver,78,3.81,Morning,Premium,22,106.7358926
100,16,Rural,Gold,96,3.65,Night,Premium,163,560.6703257
79,7,Rural,Silver,31,4.82,Night,Economy,100,322.9000695
99,9,Rural,Silver,33,4.98,Afternoon,Economy,110,292.3393609
34,24,Urban,Silver,3,4.41,Morning,Economy,97,242.751717
54,21,Urban,Silver,23,4.44,Evening,Premium,136,442.7796306
77,43,Suburban,Regular,73,4.07,Afternoon,Premium,131,505.5467165
80,21,Urban,Regular,85,4.21,Morning,Premium,146,474.9171618
74,54,Urban,Regular,16,4.35,Afternoon,Premium,147,617.4346784
57,38,Urban,Regular,31,3.97,Morning,Premium,64,294.8553699
97,66,Urban,Silver,90,3.6,Evening,Premium,150,717.467322
52,14,Suburban,Gold,97,4.83,Evening,Premium,66,266.977217
51,37,Rural,Regular,34,4.64,Afternoon,Economy,100,383.3711771
87,52,Urban,Gold,15,3.57,Night,Economy,66,266.4336179
91,42,Suburban,Silver,76,4.96,Morning,Economy,86,336.3943924
85,34,Rural,Regular,66,4.59,Morning,Premium,163,764.8593556
57,21,Rural,Silver,28,4.93,Night,Economy,141,588.6941798
28,8,Urban,Regular,67,3.78,Afternoon,Premium,58,305.2426677
58,30,Urban,Regular,32,4.14,Night,Economy,75,256.3738037
31,9,Rural,Gold,18,4.42,Morning,Premium,114,461.0193486
27,11,Suburban,Gold,88,4.5,Evening,Premium,144,581.7472844
90,75,Urban,Gold,88,4.1,Afternoon,Economy,106,472.5465909
54,8,Suburban,Regular,41,3.89,Morning,Economy,168,573.4835718
23,9,Suburban,Silver,50,3.84,Evening,Premium,34,192.3850222
94,64,Urban,Regular,62,4.87,Night,Economy,166,744.0359811
86,20,Suburban,Silver,51,3.75,Morning,Premium,110,412.2574631
79,55,Suburban,Regular,91,4.39,Morning,Economy,48,189.560565
73,13,Urban,Regular,93,3.95,Night,Economy,90,357.0434722
74,23,Urban,Regular,45,4.07,Morning,Premium,99,417.1740954
26,11,Urban,Gold,10,4.22,Morning,Premium,69,314.8447103
99,30,Urban,Regular,74,4.21,Morning,Premium,160,629.9546011
80,42,Urban,Gold,85,4.22,Night,Economy,131,473.561754
78,35,Rural,Regular,5,4.35,Evening,Premium,100,317.8809578
63,6,Urban,Gold,29,4.79,Evening,Premium,24,132.4992195
25,8,Rural,Regular,30,4.44,Night,Economy,115,430.785851
100,50,Urban,Regular,20,4.14,Evening,Economy,127,350.2265836
46,8,Urban,Silver,32,4.81,Afternoon,Economy,112,466.4274793
59,29,Urban,Regular,90,4.3,Night,Economy,145,651.730389
21,11,Rural,Gold,18,4.2,Morning,Premium,49,266.3480732
64,7,Rural,Silver,48,4.67,Evening,Economy,64,266.3853768
52,22,Suburban,Gold,72,3.6,Morning,Premium,101,303.8032264
100,56,Suburban,Silver,67,4.2,Evening,Economy,169,461.9661914
83,72,Rural,Regular,25,4.62,Night,Premium,45,201.0575406
89,10,Rural,Silver,36,4.12,Afternoon,Premium,13,94.21444739
100,37,Rural,Silver,47,4.7,Afternoon,Economy,142,546.8574477
71,7,Urban,Gold,31,4.83,Morning,Premium,60,292.7468301
94,26,Suburban,Regular,0,3.94,Afternoon,Premium,40,150.9060377
52,23,Urban,Regular,41,4.23,Evening,Economy,134,534.9066334
27,15,Urban,Silver,31,4.95,Afternoon,Economy,103,315.265403
88,62,Urban,Regular,62,4.82,Afternoon,Economy,162,601.2360266
48,38,Suburban,Silver,64,4.97,Night,Premium,152,701.469573
53,35,Suburban,Regular,1,3.67,Morning,Premium,88,392.0078846
31,12,Suburban,Gold,34,4.7,Night,Economy,105,331.8375249
56,34,Suburban,Silver,1,4.56,Afternoon,Economy,121,307.5259291
48,35,Rural,Gold,47,4.26,Morning,Economy,26,68.271745
93,66,Suburban,Silver,22,3.91,Night,Economy,180,765.4397486
49,18,Rural,Silver,62,4.92,Afternoon,Economy,62,168.3662892
72,33,Rural,Gold,63,4.25,Evening,Economy,132,351.773619
62,11,Suburban,Gold,37,4.23,Morning,Premium,71,363.345753
39,15,Suburban,Regular,53,4.6,Evening,Premium,38,201.7146763
67,56,Urban,Gold,49,4.22,Afternoon,Premium,23,121.439999
88,15,Urban,Regular,39,4.51,Afternoon,Economy,137,598.7750233
29,16,Urban,Silver,75,4.11,Morning,Premium,80,371.1242881
100,24,Urban,Silver,88,4.49,Night,Economy,56,173.6669675
98,43,Suburban,Gold,62,4.98,Morning,Economy,130,538.518528
35,10,Rural,Gold,40,3.54,Night,Economy,75,281.962567
58,14,Rural,Gold,10,3.77,Morning,Economy,95,258.0144597
22,7,Urban,Gold,53,4.43,Morning,Premium,98,476.2019962
84,37,Suburban,Regular,94,3.83,Night,Economy,28,124.6455032
91,14,Suburban,Silver,19,4.78,Night,Premium,19,111.1127149
56,29,Urban,Gold,67,4.49,Afternoon,Economy,125,421.8171879
97,21,Rural,Regular,36,3.72,Evening,Premium,23,134.0510145
57,47,Urban,Gold,26,3.8,Morning,Economy,30,132.4032477
94,27,Suburban,Silver,100,3.6,Night,Premium,172,547.9814624
84,6,Suburban,Gold,24,3.74,Morning,Economy,68,281.9682458
40,11,Rural,Silver,1,4.24,Night,Premium,35,182.4663214
65,36,Suburban,Silver,20,4.39,Night,Premium,87,313.7742266
35,22,Urban,Silver,28,4.88,Afternoon,Premium,116,422.886661
40,30,Urban,Regular,67,4.03,Evening,Premium,143,529.6967147
61,45,Urban,Silver,6,4.99,Evening,Economy,10,25.99344945
50,14,Urban,Gold,98,3.52,Night,Premium,109,351.5699575
98,25,Suburban,Silver,30,4.76,Afternoon,Economy,60,154.6871597
54,37,Suburban,Regular,41,4.69,Afternoon,Premium,16,106.5920823
37,13,Rural,Regular,31,4.66,Afternoon,Economy,35,132.1665679
78,41,Urban,Silver,12,4.99,Afternoon,Economy,22,76.22496122
84,21,Rural,Gold,88,3.5,Afternoon,Economy,146,598.94004
44,32,Suburban,Silver,51,4.2,Afternoon,Premium,168,563.1508996
25,11,Urban,Silver,92,3.91,Night,Economy,115,310.1546163
38,13,Urban,Gold,38,4.46,Evening,Premium,28,145.1375686
85,25,Urban,Silver,21,4.03,Morning,Economy,73,323.5576858
31,13,Suburban,Gold,87,4.04,Evening,Economy,11,31.56567616
67,6,Rural,Regular,25,4.45,Evening,Premium,31,144.4626376
77,11,Rural,Silver,70,3.82,Night,Premium,63,252.4930471
32,11,Suburban,Silver,30,3.53,Afternoon,Premium,32,146.5127744
71,30,Rural,Regular,60,4.83,Evening,Premium,156,501.80135
65,38,Urban,Regular,13,4.77,Morning,Premium,132,610.7325515
64,29,Urban,Silver,66,3.79,Night,Premium,37,194.2623994
48,38,Urban,Silver,45,4.17,Afternoon,Economy,87,318.210126
76,42,Rural,Gold,95,3.93,Morning,Economy,180,512.6251102
76,53,Urban,Regular,77,3.67,Afternoon,Premium,179,555.8919188
71,14,Suburban,Silver,8,4.44,Night,Economy,76,242.1588608
76,9,Urban,Silver,64,4.16,Evening,Economy,10,41.40499128
51,14,Rural,Gold,16,3.51,Night,Premium,30,180.8865537
88,38,Rural,Gold,29,3.73,Evening,Premium,167,537.8971059
60,24,Rural,Gold,5,3.79,Afternoon,Premium,154,556.6629286
73,55,Rural,Regular,55,4.2,Afternoon,Economy,52,158.5563431
23,10,Urban,Silver,80,3.88,Afternoon,Economy,22,59.4454065
74,27,Suburban,Silver,51,3.75,Morning,Premium,111,334.1449975
49,6,Suburban,Gold,18,4.41,Night,Premium,148,443.7750198
31,8,Rural,Gold,7,3.57,Night,Economy,35,145.2420374
57,46,Rural,Regular,42,4.39,Morning,Economy,56,210.6317666
64,19,Suburban,Regular,35,4.02,Afternoon,Economy,39,152.2291926
86,76,Suburban,Regular,84,4.99,Night,Economy,149,612.4467268
54,28,Suburban,Regular,73,3.56,Morning,Premium,51,250.2858824
85,37,Rural,Gold,10,3.76,Night,Premium,61,309.0825447
58,15,Rural,Regular,14,4.76,Night,Premium,12,94.1609177
96,27,Rural,Gold,21,4.37,Night,Premium,57,243.9373065
58,31,Suburban,Silver,32,4.87,Evening,Premium,85,331.1930539
77,45,Suburban,Silver,88,4.16,Morning,Economy,151,595.2312212
93,73,Rural,Regular,78,3.81,Night,Premium,106,465.9626816
44,11,Rural,Regular,56,3.83,Afternoon,Premium,18,104.7520101
20,10,Rural,Regular,54,4.12,Morning,Premium,168,784.055126
70,40,Suburban,Regular,9,3.77,Evening,Economy,130,382.9299379
42,12,Rural,Gold,92,4.5,Afternoon,Economy,123,319.2967131
87,33,Rural,Regular,53,4.15,Evening,Economy,143,640.1373391
70,43,Suburban,Gold,47,4.31,Morning,Economy,57,243.4933854
61,15,Urban,Gold,29,4.49,Afternoon,Economy,32,135.0058741
71,36,Suburban,Silver,69,4.37,Morning,Economy,110,392.9639433
81,33,Suburban,Regular,41,4.93,Afternoon,Premium,162,617.2885001
87,64,Rural,Silver,69,4.55,Evening,Premium,65,310.7883995
85,65,Suburban,Regular,73,4.65,Afternoon,Premium,165,770.0708908
91,65,Urban,Regular,40,3.58,Evening,Economy,141,373.5047076
83,57,Rural,Silver,80,4.6,Night,Premium,172,814.4195559
64,10,Suburban,Gold,75,3.61,Morning,Premium,155,473.3466933
69,22,Rural,Silver,25,4.41,Night,Premium,74,266.7677789
37,12,Rural,Silver,15,3.73,Evening,Economy,142,369.3616589
93,28,Urban,Silver,63,3.9,Evening,Economy,38,111.7239412
66,49,Rural,Gold,42,4.56,Afternoon,Economy,124,429.9483561
47,36,Rural,Silver,100,4.2,Morning,Economy,103,414.7783003
71,30,Rural,Regular,45,4.16,Evening,Premium,53,227.18257
58,19,Urban,Silver,47,3.97,Evening,Economy,77,247.4420018
100,18,Suburban,Silver,50,4.89,Morning,Premium,51,213.8232969
94,28,Urban,Regular,59,4.45,Night,Economy,173,652.587891
49,6,Rural,Silver,23,4.65,Night,Premium,69,289.6463054
42,7,Rural,Gold,90,3.67,Evening,Economy,32,123.7624693
79,63,Urban,Gold,56,4.66,Evening,Premium,70,292.5906289
59,5,Rural,Gold,17,4.97,Evening,Premium,143,440.9395108
54,7,Urban,Regular,91,3.75,Night,Economy,97,298.3226184
60,6,Rural,Silver,65,4.76,Morning,Economy,168,629.2044296
26,13,Suburban,Silver,4,3.63,Night,Premium,123,441.9961924
90,10,Rural,Silver,59,4.44,Morning,Premium,147,691.5012906
34,12,Suburban,Silver,38,4.18,Afternoon,Economy,24,106.9485906
80,34,Suburban,Silver,84,3.8,Night,Economy,174,561.438522
21,7,Rural,Regular,58,4.31,Morning,Premium,75,328.4583569
97,71,Suburban,Silver,52,4.32,Evening,Economy,36,133.3873831
64,7,Suburban,Regular,92,4.58,Evening,Premium,16,114.6992021
47,34,Rural,Gold,16,4.38,Evening,Premium,46,237.143389
44,28,Rural,Gold,30,3.93,Evening,Premium,42,157.1065717
21,9,Suburban,Gold,13,4.01,Evening,Economy,127,431.2515977
57,37,Urban,Gold,59,3.92,Evening,Economy,159,585.8075882
62,5,Rural,Silver,51,4.4,Afternoon,Economy,160,647.2043749
25,6,Urban,Gold,60,3.91,Evening,Premium,145,559.5788398
92,33,Suburban,Silver,70,3.69,Evening,Premium,46,173.1505323
38,7,Rural,Gold,46,3.79,Night,Economy,78,198.1704675
99,31,Urban,Silver,0,3.54,Morning,Economy,50,192.7088692
35,7,Rural,Regular,65,4.19,Night,Economy,65,165.0758242
30,13,Urban,Gold,53,3.68,Night,Premium,124,379.4680329
28,6,Urban,Gold,53,4.48,Night,Premium,148,461.1095538
59,47,Rural,Silver,73,3.54,Night,Economy,75,234.5672446
24,13,Urban,Silver,50,4.26,Night,Premium,141,540.0620307
21,6,Suburban,Regular,15,3.81,Evening,Premium,80,318.8415033
84,54,Suburban,Silver,59,4.98,Afternoon,Premium,43,196.3151415
100,50,Urban,Silver,83,4.91,Morning,Premium,173,622.4914304
30,11,Urban,Silver,99,4.96,Evening,Economy,83,349.6745279
45,35,Rural,Regular,0,4.58,Afternoon,Premium,41,206.1473319
53,35,Urban,Gold,35,3.92,Afternoon,Premium,166,635.9330545
65,41,Rural,Gold,51,3.57,Night,Premium,48,251.1121418
93,6,Rural,Silver,85,4.47,Night,Economy,107,324.0987674
28,5,Rural,Regular,69,4.49,Morning,Premium,132,425.4887348
38,8,Urban,Silver,78,3.57,Night,Economy,114,470.2690237
25,6,Urban,Regular,69,4.45,Evening,Premium,94,398.051726
76,23,Rural,Regular,64,3.57,Night,Premium,115,564.931725
22,7,Suburban,Gold,73,4.91,Morning,Premium,73,238.3189915
40,5,Rural,Silver,17,4.55,Afternoon,Economy,72,184.9552256
89,16,Suburban,Regular,27,4.86,Afternoon,Economy,161,624.305616
31,21,Suburban,Silver,77,4.83,Afternoon,Economy,107,389.3845083
92,45,Rural,Silver,59,4.23,Morning,Premium,121,574.8939389
58,32,Urban,Gold,92,4.59,Afternoon,Premium,111,517.944462
58,20,Rural,Silver,42,3.51,Evening,Economy,125,527.1792012
36,7,Suburban,Regular,26,4.35,Morning,Economy,59,201.4968308
66,40,Rural,Regular,93,4.86,Evening,Economy,153,627.016751
76,54,Urban,Regular,58,4.05,Evening,Economy,74,218.6251779
55,23,Urban,Gold,46,4.58,Afternoon,Premium,150,654.6765363
21,8,Urban,Regular,57,4.78,Night,Premium,84,293.5602166
61,45,Rural,Gold,42,4.25,Afternoon,Economy,102,421.985262
72,62,Suburban,Regular,48,3.82,Evening,Economy,126,553.7408049
65,18,Rural,Gold,65,4.01,Morning,Economy,111,330.62431
20,8,Rural,Silver,27,4.99,Morning,Economy,83,261.4451503
22,7,Suburban,Silver,16,4.1,Night,Economy,147,520.0637873
72,49,Suburban,Gold,15,4.34,Night,Premium,19,117.6332781
42,30,Urban,Regular,26,4.79,Afternoon,Economy,138,493.0149509
100,54,Suburban,Regular,91,4.59,Night,Premium,61,203.1132957
87,32,Suburban,Silver,38,4.76,Afternoon,Economy,114,421.7762985
36,8,Urban,Gold,47,4.07,Afternoon,Economy,77,305.0088859
70,38,Urban,Silver,99,4.19,Morning,Economy,76,317.7718882
41,7,Urban,Gold,4,4.15,Night,Economy,83,364.9140561
59,40,Rural,Gold,64,4.72,Night,Economy,157,398.3194964
33,14,Urban,Regular,38,4.89,Morning,Economy,127,461.3060121
70,26,Urban,Silver,15,3.67,Night,Premium,70,358.2348071
45,7,Rural,Regular,87,4.35,Evening,Economy,74,224.3071068
98,71,Suburban,Regular,83,4.55,Morning,Economy,139,558.3815496
75,63,Urban,Gold,42,4.55,Evening,Premium,138,660.4425623
100,34,Rural,Gold,33,4.75,Night,Economy,156,537.4486717
76,23,Urban,Silver,53,3.94,Evening,Economy,117,480.1043704
32,12,Urban,Silver,69,3.68,Morning,Economy,55,162.2831045
35,23,Suburban,Gold,58,3.78,Afternoon,Economy,164,638.0445145
30,16,Suburban,Gold,89,3.63,Afternoon,Economy,142,420.111098
75,56,Urban,Regular,66,3.69,Evening,Premium,22,124.4906005
25,6,Rural,Regular,23,3.95,Morning,Premium,55,235.2781176
88,16,Suburban,Gold,26,4.18,Morning,Economy,32,127.3314901
43,26,Rural,Silver,69,4.9,Evening,Economy,107,391.0269904
39,20,Rural,Silver,97,4.25,Morning,Economy,121,319.5430197
77,63,Suburban,Gold,72,4.56,Morning,Economy,113,380.2853708
41,14,Suburban,Silver,59,4.72,Morning,Premium,49,179.6234225
51,20,Rural,Silver,97,4.8,Morning,Economy,130,452.1126401
30,10,Suburban,Gold,86,4.95,Evening,Economy,149,565.6691466
29,8,Urban,Gold,52,4.68,Afternoon,Premium,121,402.1558776
21,5,Rural,Gold,8,4.44,Afternoon,Premium,159,689.84216
50,15,Suburban,Regular,62,4.51,Night,Economy,83,307.6469281
61,42,Rural,Gold,11,3.72,Night,Economy,52,186.5262771
67,5,Suburban,Silver,81,4.53,Morning,Premium,14,91.06777716
73,22,Suburban,Regular,26,4.99,Night,Economy,33,143.8549861
35,18,Urban,Gold,27,3.82,Morning,Economy,158,553.8373591
96,58,Urban,Silver,25,3.61,Morning,Economy,85,336.5684837
38,28,Urban,Gold,8,4.83,Morning,Economy,29,95.02020686
75,28,Urban,Gold,6,4.02,Evening,Premium,171,575.0117219
57,26,Suburban,Silver,92,4.11,Afternoon,Premium,58,264.6757476
36,10,Rural,Gold,65,3.54,Night,Economy,53,185.6179239
73,27,Rural,Gold,98,3.97,Evening,Economy,57,251.1556503
68,29,Rural,Gold,51,3.99,Evening,Economy,110,299.6890563
25,9,Rural,Gold,11,3.58,Night,Economy,31,92.65681121
97,25,Urban,Regular,95,4.91,Night,Premium,101,332.2293764
30,7,Rural,Regular,85,3.74,Evening,Economy,44,184.1120897
83,7,Suburban,Gold,24,4.9,Morning,Premium,24,124.5817745
27,5,Rural,Gold,2,4.3,Evening,Economy,22,60.98181722
58,21,Suburban,Gold,72,4.14,Afternoon,Economy,10,35.88598786
32,15,Urban,Gold,67,3.76,Evening,Premium,23,132.1230188
76,8,Urban,Gold,40,4.68,Afternoon,Economy,157,561.5796822
21,9,Suburban,Regular,38,4.54,Morning,Economy,179,546.3787899
47,37,Urban,Gold,53,4.69,Night,Economy,41,147.4597413
33,20,Suburban,Regular,97,4.13,Morning,Premium,169,668.892214
92,66,Rural,Silver,26,3.56,Evening,Economy,19,62.06928479
24,7,Rural,Silver,34,3.51,Afternoon,Premium,111,477.7411362
75,9,Rural,Gold,71,4.06,Night,Economy,150,411.0057654
89,76,Urban,Gold,35,4.8,Night,Premium,177,650.2985712
67,20,Urban,Regular,42,4.13,Evening,Economy,68,243.2286176
61,23,Suburban,Silver,51,4.73,Evening,Premium,150,680.9330686
80,67,Rural,Regular,80,4.74,Night,Economy,147,432.3072577
66,15,Suburban,Gold,62,4.59,Night,Economy,161,720.7299449
39,12,Suburban,Regular,54,3.77,Morning,Premium,176,510.454375
46,22,Urban,Regular,9,4.33,Morning,Economy,128,522.7974319
89,74,Rural,Silver,41,4.89,Morning,Premium,115,432.1627923
60,16,Urban,Gold,56,4.33,Night,Premium,126,382.4570671
58,13,Rural,Regular,99,3.62,Morning,Premium,106,351.4393159
68,16,Urban,Silver,93,4.44,Morning,Premium,154,510.1957863
45,19,Suburban,Silver,71,3.72,Night,Economy,121,313.9264406
91,61,Suburban,Gold,100,4.88,Night,Economy,101,372.229822
39,12,Urban,Regular,70,4.02,Morning,Premium,66,314.4680085
97,9,Rural,Gold,58,4.32,Evening,Premium,142,491.5779539
42,18,Suburban,Silver,39,3.94,Afternoon,Economy,128,527.1558944
27,15,Urban,Gold,11,3.77,Evening,Economy,111,432.8493969
67,48,Rural,Regular,94,4.3,Evening,Premium,168,544.6027808
69,51,Urban,Regular,75,3.57,Night,Premium,136,470.1827135
69,47,Urban,Regular,65,4.22,Night,Economy,18,53.53910401
93,18,Suburban,Gold,34,3.54,Afternoon,Economy,80,352.0685727
84,74,Suburban,Regular,7,4.4,Afternoon,Premium,101,396.3698341
96,48,Urban,Gold,41,4.39,Morning,Economy,130,367.7829981
30,13,Suburban,Gold,72,4.18,Night,Premium,113,352.9356731
60,48,Suburban,Regular,15,4.06,Morning,Economy,78,339.1055826
72,39,Urban,Regular,39,3.77,Night,Premium,115,347.8959667
31,13,Suburban,Regular,82,4.63,Morning,Economy,108,469.2509136
71,13,Rural,Silver,60,4.3,Night,Premium,62,213.8430201
91,61,Rural,Silver,86,4.44,Morning,Premium,129,567.5392185
91,60,Rural,Gold,2,3.53,Evening,Premium,107,492.1790132
32,6,Urban,Silver,13,4.75,Afternoon,Economy,53,173.8874745
23,10,Suburban,Gold,47,4.84,Evening,Economy,125,418.1068244
61,47,Suburban,Silver,100,4.58,Night,Premium,157,658.3040013
57,40,Urban,Regular,78,3.62,Afternoon,Economy,171,764.5953414
89,70,Suburban,Gold,86,4.51,Afternoon,Economy,90,384.209292
64,45,Rural,Gold,22,3.96,Night,Premium,118,404.6018875
91,29,Urban,Regular,82,3.73,Afternoon,Premium,90,446.8170258
91,53,Suburban,Gold,67,4.56,Night,Economy,50,158.1067232
69,37,Suburban,Regular,47,4.39,Evening,Premium,60,284.2362895
71,61,Suburban,Regular,79,3.85,Afternoon,Economy,147,591.2989763
38,7,Rural,Silver,28,3.85,Evening,Economy,12,36.00027803
100,32,Suburban,Regular,67,3.94,Evening,Premium,162,581.1370846
65,51,Suburban,Gold,97,4.81,Night,Premium,144,588.1367699
73,38,Urban,Regular,91,4.23,Evening,Premium,86,400.267333
56,25,Suburban,Regular,87,3.73,Evening,Premium,172,575.4102708
75,55,Rural,Silver,80,4.7,Morning,Economy,69,190.9788527
97,21,Urban,Regular,43,3.79,Afternoon,Premium,106,398.1593839
94,71,Rural,Regular,48,4.73,Night,Premium,169,770.8733245
53,22,Urban,Silver,28,4.99,Afternoon,Premium,64,211.082023
81,8,Rural,Silver,78,4.8,Afternoon,Premium,141,618.4288567
47,34,Rural,Silver,87,3.53,Morning,Premium,170,739.22712
80,48,Suburban,Regular,13,4.44,Night,Economy,35,128.7410739
75,55,Rural,Gold,54,4.73,Night,Premium,145,584.49173
89,12,Urban,Silver,42,4.73,Afternoon,Economy,102,328.3139822
30,13,Rural,Gold,8,4.1,Afternoon,Economy,94,274.6803754
64,5,Rural,Gold,91,4.34,Evening,Premium,21,108.2430435
55,29,Suburban,Gold,92,4.85,Morning,Economy,44,181.7809396
94,76,Suburban,Gold,26,4.7,Morning,Premium,94,405.3179545
53,28,Urban,Gold,6,3.67,Evening,Economy,178,775.7916852
29,7,Suburban,Regular,68,3.98,Morning,Economy,114,289.1296809
29,17,Urban,Silver,76,3.61,Morning,Economy,166,674.1328476
75,42,Suburban,Silver,38,4.25,Afternoon,Economy,146,479.1199534
74,53,Suburban,Regular,60,3.93,Night,Economy,162,676.4404324
89,75,Urban,Silver,10,4.91,Evening,Economy,16,54.44953819
29,13,Suburban,Gold,44,4.29,Evening,Premium,87,267.740417
40,20,Rural,Silver,45,4.42,Evening,Premium,130,445.4842486
79,11,Urban,Regular,1,4.35,Night,Premium,45,210.2567597
98,87,Urban,Gold,87,4.28,Afternoon,Premium,170,603.8458025
