Number_of_Riders,Number_of_Drivers,Location_Category,Customer_Loyalty_Status,Number_of_Past_Rides,Average_Ratings,Time_of_Booking,Vehicle_Type,Expected_Ride_Duration,Historical_Cost_of_Ride
95,76,Urban,Regular,74,4.39,Night,Economy,118,464.9915827
79,13,Rural,Gold,67,4.05,Evening,Premium,151,514.9363492
38,22,Suburban,Regular,18,4.17,Night,Premium,121,450.5387531
83,41,Suburban,Silver,48,3.64,Evening,Economy,176,741.3443926
59,24,Suburban,Regular,40,4,Afternoon,Premium,147,631.631297
51,11,Suburban,Regular,72,3.62,Afternoon,Economy,16,71.21364105
64,46,Rural,Silver,51,5,Evening,Premium,29,144.6013825
30,6,Rural,Regular,93,3.81,Evening,Economy,129,505.9219688
60,15,Suburban,Regular,95,4.84,Afternoon,Economy,180,726.3339146
75,51,Rural,Regular,17,4.83,Afternoon,Premium,79,283.4132788
25,15,Suburban,Regular,88,4.68,Afternoon,Premium,31,148.1864882
46,31,Suburban,Gold,67,3.53,Morning,Economy,61,158.5920931
48,11,Urban,Regular,86,3.55,Night,Economy,15,57.89462608
51,6,Rural,Gold,64,4.57,Morning,Economy,34,142.5577269
68,23,Suburban,Gold,96,4.77,Morning,Economy,105,359.1281131
89,8,Suburban,Silver,18,3.83,Morning,Economy,121,407.5520588
84,55,Suburban,Regular,1,4.47,Afternoon,Economy,146,487.3991192
50,8,Rural,Regular,25,3.8,Evening,Premium,13,89.61312852
99,40,Urban,Gold,26,4.83,Evening,Premium,151,510.6580782
21,9,Urban,Gold,91,4.82,Morning,Economy,47,171.6271186
53,19,Suburban,Silver,54,3.84,Evening,Economy,132,520.5653406
60,16,Urban,Gold,68,4.23,Night,Economy,108,458.0963268
32,22,Suburban,Silver,9,4.68,Night,Premium,135,530.1491564
51,25,Rural,Regular,21,4.43,Evening,Premium,38,200.2582591
22,5,Urban,Regular,75,4.39,Night,Premium,19,128.0167602
21,7,Rural,Regular,6,4.96,Afternoon,Premium,180,836.1164186
55,21,Rural,Silver,49,4.59,Morning,Economy,111,471.0890519
42,31,Rural,Gold,32,4.75,Night,Economy,12,50.64017558
86,26,Rural,Silver,31,3.69,Afternoon,Economy,85,263.1611767
48,18,Rural,Silver,60,4.47,Afternoon,Premium,124,524.1655595
82,65,Urban,Gold,43,4.8,Night,Premium,112,330.2265438
63,48,Rural,Regular,88,4.09,Morning,Economy,70,212.7407519
44,24,Urban,Regular,83,3.61,Night,Economy,13,48.92895254
39,18,Suburban,Gold,78,4.21,Afternoon,Economy,165,734.395119
23,7,Rural,Gold,98,4.35,Morning,Economy,76,281.3395023
31,7,Rural,Silver,27,4.73,Morning,Premium,141,476.2898578
44,7,Rural,Regular,55,3.66,Night,Premium,103,490.3421583
23,5,Urban,Gold,92,3.71,Night,Economy,105,363.4447759
63,46,Urban,Silver,36,4.59,Morning,Economy,18,49.83993576
25,15,Urban,Gold,15,4.18,Morning,Premium,176,516.829559
27,11,Rural,Regular,1,4.34,Night,Economy,99,262.6864664
57,28,Urban,Gold,27,4.58,Afternoon,Economy,107,423.5098574
83,26,Suburban,Gold,77,3.62,Night,Premium,74,373.9756358
80,5,Suburban,Regular,53,3.67,Evening,Premium,48,184.2429447
50,40,Rural,Silver,61,4.7,Evening,Premium,73,319.1109829
84,8,Rural,Gold,21,4.63,Night,Economy,172,549.2008068
90,54,Rural,Regular,1,3.59,Afternoon,Premium,87,427.8571629
28,9,Urban,Silver,68,4.82,Evening,Premium,43,164.3163905
97,64,Rural,Silver,62,3.52,Morning,Premium,152,638.1340202
99,22,Suburban,Silver,7,4.4,Morning,Economy,39,131.4435872
96,53,Rural,Regular,58,4.28,Afternoon,Economy,21,55.6373708
88,69,Rural,Gold,89,3.6,Evening,Premium,107,467.9274949
53,17,Rural,Silver,78,4.03,Afternoon,Premium,26,120.2471929
28,14,Rural,Silver,77,3.58,Afternoon,Economy,98,374.6551828
59,21,Rural,Regular,97,3.6,Afternoon,Premium,67,269.4441402
50,27,Suburban,Gold,100,4.22,Morning,Premium,173,685.6696936
89,8,Urban,Gold,40,3.59,Morning,Premium,151,528.0024896
83,34,Urban,Silver,96,4.71,Evening,Premium,176,812.0729939
73,14,Urban,Gold,28,4.31,Evening,Economy,29,118.9730584
76,35,Suburban,Regular,8,4.89,Afternoon,Premium,138,406.5899108
56,35,Rural,Silver,33,3.97,Morning,Economy,47,134.7758295
40,20,Rural,Regular,11,4.4,Afternoon,Economy,83,343.79852
27,6,Urban,Silver,92,3.73,Night,Premium,125,460.2837625
32,7,Urban,Regular,79,4.05,Morning,Economy,83,306.3904612
48,24,Urban,Silver,35,4.2,Night,Premium,51,251.4211394
71,41,Urban,Gold,31,3.81,Afternoon,Premium,140,614.6367132
53,6,Rural,Silver,74,4.12,Night,Economy,76,231.1651668
87,44,Rural,Silver,61,3.87,Evening,Premium,16,117.7636645
36,16,Urban,Regular,82,4.62,Afternoon,Premium,72,253.4912438
39,20,Rural,Gold,71,4.11,Morning,Economy,111,404.5983992
91,81,Rural,Gold,15,4.68,Evening,Premium,20,135.1772701
31,18,Urban,Regular,46,4.86,Night,Economy,128,360.8585507
94,67,Suburban,Silver,34,4.64,Night,Premium,64,231.3263185
83,18,Urban,Gold,12,4.98,Morning,Economy,81,286.4092944
34,9,Urban,Silver,65,4.69,Afternoon,Premium,107,508.7118175
32,6,Rural,Gold,75,4.47,Morning,Premium,154,721.7212691
22,7,Urban,Gold,15,3.53,Evening,Premium,180,552.2693747
49,20,Rural,Silver,52,4.74,Afternoon,Premium,162,510.6268914
61,38,Urban,Silver,95,3.5,Night,Economy,164,415.9794524
21,9,Urban,Gold,48,4.4,Afternoon,Premium,152,660.059708
40,18,Urban,Silver,16,4.59,Afternoon,Premium,157,644.0445755
22,6,Urban,Silver,82,4.3,Morning,Premium,172,710.8843138
34,11,Suburban,Gold,66,4.59,Morning,Economy,134,478.2001536
56,31,Rural,Silver,9,4.79,Afternoon,Premium,167,744.4180992
93,36,Urban,Gold,60,4.63,Afternoon,Economy,111,478.7697584
38,9,Suburban,Gold,57,4.26,Morning,Premium,16,104.0560727
76,26,Suburban,Silver,74,4.18,Evening,Premium,159,486.1839276
47,24,Suburban,Silver,11,3.62,Night,Premium,148,657.0936874
64,10,Urban,Silver,62,4.98,Evening,Economy,38,96.30074138
56,10,Rural,Gold,28,3.8,Afternoon,Economy,144,609.9082747
44,25,Rural,Silver,32,4.43,Night,Premium,154,502.1012063
34,6,Rural,Regular,11,3.75,Morning,Economy,179,465.7190585
45,18,Suburban,Silver,70,3.84,Night,Economy,122,308.4359179
31,7,Rural,Regular,22,4.88,Afternoon,Premium,172,806.0212702
95,28,Rural,Regular,34,4.48,Evening,Economy,163,576.967572
82,59,Rural,Regular,39,3.5,Night,Premium,67,284.2944207
95,38,Urban,Silver,39,3.71,Afternoon,Premium,97,478.3662772
27,12,Suburban,Silver,1,4.93,Evening,Economy,41,119.4824
94,23,Suburban,Regular,71,4.15,Night,Premium,154,532.5097779
66,15,Urban,Silver,88,4.21,Evening,Premium,65,291.9008795
40,6,Rural,Gold,37,4.75,Afternoon,Premium,148,707.8553932
56,27,Suburban,Silver,62,4.74,Evening,Premium,129,435.7154538
54,6,Suburban,Gold,48,4.26,Morning,Economy,154,504.0841142
46,15,Suburban,Silver,96,4.69,Morning,Premium,116,497.3770093
65,16,Suburban,Silver,82,3.62,Evening,Premium,146,460.8002859
96,48,Urban,Gold,11,4.19,Night,Economy,79,272.4960776
47,9,Suburban,Gold,88,4.06,Night,Economy,93,246.9535423
20,7,Urban,Silver,55,4.43,Night,Economy,153,482.7422075
94,57,Suburban,Regular,13,4.04,Afternoon,Economy,60,205.4957596
52,30,Suburban,Silver,25,3.67,Night,Economy,142,531.6062153
71,6,Suburban,Gold,48,4.05,Afternoon,Economy,157,550.9983737
46,8,Rural,Gold,39,3.97,Evening,Premium,123,396.9586998
53,40,Urban,Regular,13,3.79,Night,Economy,118,318.2115758
26,11,Urban,Regular,97,3.64,Morning,Economy,141,427.0550612
100,46,Suburban,Gold,74,3.74,Afternoon,Economy,171,448.3128535
74,38,Urban,Regular,95,5,Evening,Economy,167,455.4083399
53,5,Rural,Gold,100,4.46,Night,Premium,33,179.1708197
75,63,Urban,Gold,24,4.18,Afternoon,Economy,29,104.1858826
44,9,Suburban,Regular,54,4.2,Morning,Premium,13,91.67748869
76,60,Suburban,Regular,81,3.6,Evening,Premium,72,264.0857364
88,18,Suburban,Silver,80,4.83,Evening,Economy,109,424.6569323
54,35,Rural,Gold,95,4.98,Evening,Premium,61,218.9504185
49,30,Urban,Regular,7,3.97,Afternoon,Premium,77,248.1703336
25,8,Urban,Silver,11,4,Afternoon,Economy,109,422.4367392
36,18,Suburban,Gold,15,4.21,Afternoon,Economy,86,280.5240757
42,25,Suburban,Silver,44,4.99,Morning,Premium,122,565.9834811
29,14,Rural,Gold,2,4.69,Night,Premium,180,828.2131346
52,16,Urban,Silver,63,4.13,Morning,Economy,49,132.8468058
37,6,Rural,Gold,59,4.73,Evening,Economy,20,86.17345484
91,17,Rural,Gold,21,4.84,Afternoon,Premium,149,545.3868063
29,8,Rural,Silver,79,4.26,Morning,Premium,133,531.0619846
62,45,Rural,Regular,87,4.74,Afternoon,Premium,20,108.6023565
69,7,Urban,Regular,51,4.56,Afternoon,Premium,103,462.6630441
32,14,Suburban,Silver,80,3.56,Afternoon,Premium,80,254.9510771
78,31,Urban,Gold,6,3.78,Evening,Premium,64,271.012665
53,10,Rural,Silver,10,3.58,Evening,Economy,168,424.4884285
60,50,Suburban,Silver,54,4.57,Afternoon,Premium,38,151.7772865
97,58,Urban,Gold,1,4.11,Morning,Premium,83,383.0749064
87,77,Urban,Gold,12,3.56,Night,Premium,11,97.78450586
74,20,Rural,Silver,68,4.36,Night,Economy,32,119.5940733
90,58,Urban,Gold,1,4.7,Afternoon,Premium,21,126.5727707
21,8,Rural,Regular,69,4.24,Afternoon,Premium,176,829.5343799
70,35,Urban,Silver,35,4.9,Night,Premium,108,418.8153495
37,7,Suburban,Regular,1,3.92,Evening,Economy,62,233.2131028
30,11,Rural,Gold,93,3.56,Night,Premium,155,701.1414725
64,22,Urban,Regular,26,4.24,Evening,Premium,115,388.7296675
40,23,Urban,Silver,6,3.96,Night,Economy,178,528.6080729
28,18,Urban,Gold,100,3.62,Afternoon,Premium,92,382.0384386
85,19,Rural,Gold,17,3.69,Morning,Economy,164,587.3312643
92,77,Urban,Gold,100,4.26,Night,Economy,47,167.7398193
93,56,Suburban,Regular,56,4.65,Evening,Premium,86,304.8360145
36,25,Rural,Regular,26,3.57,Afternoon,Economy,122,354.154098
94,50,Suburban,Regular,88,4.95,Night,Premium,49,250.4603273
27,8,Rural,Gold,48,4.18,Afternoon,Economy,167,495.2197782
86,41,Rural,Regular,96,4.5,Morning,Premium,68,301.5483736
22,11,Rural,Regular,39,4.63,Evening,Economy,101,433.0345436
95,56,Rural,Silver,86,3.79,Morning,Premium,147,671.4712089
99,89,Urban,Silver,63,4.84,Afternoon,Economy,16,49.71329086
22,8,Rural,Regular,4,4.84,Morning,Economy,122,408.12977
100,85,Suburban,Silver,59,4.46,Evening,Economy,110,329.4837131
61,38,Rural,Silver,100,4.34,Evening,Premium,78,383.3178042
33,18,Suburban,Gold,7,4.01,Night,Economy,105,313.068157
39,22,Rural,Gold,63,3.87,Evening,Premium,170,706.6896359
37,5,Urban,Silver,75,3.88,Evening,Premium,26,142.6153122
95,53,Suburban,Silver,6,4.01,Afternoon,Premium,158,708.8224028
28,6,Suburban,Gold,54,4.03,Afternoon,Premium,168,593.065918
66,17,Urban,Gold,84,4.47,Night,Economy,139,604.3834015
60,11,Suburban,Gold,18,4.29,Evening,Economy,26,100.2582627
94,34,Suburban,Gold,99,4.54,Afternoon,Premium,155,685.7612505
63,12,Urban,Silver,54,4.47,Evening,Premium,140,446.4130123
38,8,Suburban,Silver,59,4.44,Night,Premium,75,291.1079368
35,21,Suburban,Silver,13,4.14,Morning,Premium,36,193.6423939
83,64,Suburban,Gold,78,4.01,Evening,Economy,109,304.52613
62,14,Rural,Silver,33,4.23,Morning,Premium,85,386.8349333
88,48,Urban,Gold,52,4.52,Night,Economy,92,230.8325858
68,11,Rural,Silver,89,3.66,Evening,Economy,93,333.9106727
84,64,Urban,Regular,34,4.13,Evening,Premium,99,353.8098039
40,10,Urban,Regular,60,3.87,Night,Premium,79,293.1981343
93,20,Urban,Regular,38,4.78,Afternoon,Premium,144,447.0830688
57,44,Urban,Gold,78,3.53,Evening,Economy,153,584.888885
67,16,Suburban,Gold,24,4.52,Evening,Premium,150,488.1872512
68,16,Urban,Silver,91,4.49,Night,Economy,77,246.7577555
38,22,Urban,Gold,60,3.6,Morning,Premium,104,312.1731588
49,28,Urban,Silver,61,3.9,Evening,Premium,172,576.2811193
98,59,Urban,Regular,55,4.6,Morning,Economy,100,381.3912054
47,9,Suburban,Gold,38,4.06,Morning,Economy,141,543.7702542
27,11,Urban,Regular,97,4.78,Evening,Premium,137,472.5224038
59,29,Urban,Regular,68,4.4,Night,Premium,88,286.0589701
56,20,Urban,Regular,74,4.05,Evening,Economy,25,88.95619552
50,39,Urban,Gold,62,3.95,Morning,Premium,135,646.9811779
93,37,Urban,Gold,37,4.75,Night,Economy,76,292.9246564
46,22,Rural,Regular,97,3.51,Morning,Economy,100,395.7698468
56,19,Suburban,Silver,16,4.46,Evening,Premium,86,279.6798101
37,16,Suburban,Gold,8,4.5,Evening,Economy,46,192.5029774
85,58,Urban,Regular,85,4.1,Night,Premium,92,351.7702933
27,7,Urban,Regular,89,3.6,Morning,Premium,120,555.4019371
44,16,Rural,Silver,31,3.96,Night,Premium,122,395.378157
75,51,Suburban,Regular,68,3.65,Afternoon,Premium,66,261.5103068
21,11,Urban,Gold,46,3.84,Morning,Economy,103,397.5648404
42,29,Suburban,Silver,67,4.59,Morning,Premium,153,735.2764383
25,15,Suburban,Silver,100,4.9,Night,Premium,94,289.4570095
67,46,Suburban,Regular,92,4.72,Morning,Economy,32,97.67500136
29,6,Suburban,Silver,24,4.37,Afternoon,Economy,50,197.4639216
100,70,Urban,Gold,42,4.9,Night,Premium,167,762.8822843
37,10,Suburban,Gold,27,4.26,Afternoon,Economy,143,512.4493927
31,14,Urban,Gold,37,4.3,Night,Premium,103,484.4661864
49,12,Suburban,Silver,30,4.37,Afternoon,Premium,84,353.0184088
42,19,Rural,Regular,56,4.84,Evening,Premium,144,539.7316715
61,5,Rural,Regular,48,4.15,Morning,Economy,29,114.1636548
24,7,Suburban,Gold,85,4.36,Night,Economy,169,521.408046
20,10,Rural,Regular,18,4.28,Evening,Premium,123,450.3878805
22,9,Urban,Silver,36,4.51,Evening,Premium,10,82.69156896
98,87,Suburban,Regular,59,4.26,Afternoon,Economy,13,34.57409278
30,14,Urban,Silver,64,4.45,Afternoon,Economy,147,535.1718879
32,13,Urban,Regular,75,4.56,Evening,Premium,111,333.4011668
22,12,Urban,Silver,49,4.88,Night,Premium,35,179.8388199
62,8,Urban,Silver,13,4.2,Night,Premium,65,241.9912178
51,27,Urban,Gold,8,4.31,Night,Economy,92,369.3803924
85,74,Suburban,Regular,82,3.92,Evening,Premium,177,704.3001292
28,9,Urban,Silver,26,3.95,Night,Premium,114,466.9720738
93,70,Suburban,Silver,21,3.81,Evening,Economy,12,41.12164472
36,9,Suburban,Silver,53,4.46,Night,Premium,127,404.0297998
80,22,Rural,Gold,17,4.4,Morning,Economy,141,423.754418
60,24,Rural,Regular,18,4.16,Morning,Premium,45,165.7246625
97,45,Urban,Silver,90,3.71,Morning,Premium,151,578.8213878
53,14,Suburban,Silver,24,3.99,Afternoon,Premium,161,707.4493979
79,22,Rural,Silver,53,3.96,Evening,Premium,126,542.809573
44,24,Urban,Silver,55,4.08,Afternoon,Premium,137,513.9900767
34,12,Suburban,Regular,3,4.83,Night,Premium,62,298.35562
55,12,Urban,Silver,96,4.66,Morning,Premium,48,183.2701657
49,29,Suburban,Regular,35,4.8,Evening,Premium,160,468.3069202
72,54,Rural,Regular,68,3.85,Afternoon,Economy,74,220.4983368
72,27,Urban,Gold,76,3.97,Morning,Premium,70,265.9466151
99,6,Suburban,Gold,49,4.32,Afternoon,Economy,113,311.4894374
21,10,Rural,Regular,22,4.42,Morning,Economy,151,647.8477765
50,25,Urban,Silver,89,4.74,Afternoon,Economy,107,383.914142
61,35,Rural,Silver,4,4.77,Morning,Premium,115,557.9161858
24,5,Rural,Silver,57,4.96,Night,Premium,70,228.7960084
31,17,Rural,Silver,71,4.46,Evening,Premium,55,237.7686221
35,20,Suburban,Regular,62,3.55,Afternoon,Economy,117,297.0874039
74,30,Urban,Regular,97,3.9,Evening,Economy,179,794.3231511
94,61,Urban,Regular,12,4.95,Evening,Premium,133,563.8497972
44,11,Rural,Silver,31,3.92,Afternoon,Premium,110,339.2870735
84,37,Urban,Gold,3,3.83,Evening,Premium,69,248.9476554
27,12,Suburban,Regular,39,4.51,Morning,Premium,55,279.2686999
59,36,Suburban,Regular,43,3.74,Evening,Premium,25,145.0422383
82,20,Urban,Regular,59,3.99,Night,Premium,45,241.8259565
24,10,Urban,Gold,24,4.09,Morning,Premium,97,430.6098548
84,67,Suburban,Regular,48,4.87,Night,Economy,81,219.9937068
52,9,Suburban,Regular,24,4.19,Morning,Economy,102,366.7282586
38,12,Rural,Silver,44,4.85,Evening,Economy,110,356.8814026
26,12,Urban,Regular,80,4.27,Afternoon,Economy,134,441.4714773
61,39,Suburban,Regular,82,4.49,Morning,Premium,46,230.1431448
87,41,Rural,Gold,97,4.27,Afternoon,Premium,37,158.89198
98,46,Suburban,Gold,55,4.71,Evening,Economy,173,766.9193242
24,13,Urban,Silver,54,4.09,Morning,Economy,161,466.7229822
44,8,Urban,Gold,43,3.82,Night,Economy,86,233.5066238
71,59,Urban,Regular,71,4.47,Evening,Economy,31,104.1037338
91,59,Urban,Silver,68,4.77,Night,Economy,15,38.33576819
32,14,Urban,Gold,75,4.49,Night,Economy,177,761.0167601
79,24,Urban,Silver,0,4.26,Evening,Economy,82,284.8625063
73,27,Urban,Regular,55,4.27,Morning,Premium,50,216.0601959
32,16,Rural,Silver,80,4.78,Morning,Economy,11,39.3737012
22,10,Rural,Silver,5,4.44,Morning,Premium,129,471.7821019
35,19,Urban,Silver,45,4.99,Afternoon,Economy,159,508.6730025
24,10,Suburban,Regular,79,4.3,Night,Economy,24,95.11851082
67,31,Rural,Gold,64,3.62,Night,Economy,169,735.1444901
100,73,Urban,Silver,95,3.98,Night,Premium,100,456.603073
66,16,Urban,Silver,94,4.52,Morning,Economy,34,122.2418752
96,36,Urban,Regular,57,4.06,Evening,Premium,139,599.8171406
60,8,Urban,Regular,68,4.84,Morning,Premium,144,438.5186068
92,31,Rural,Silver,54,3.91,Night,Premium,148,516.1330392
92,49,Urban,Silver,9,4.23,Evening,Premium,89,397.4831041
56,37,Urban,Silver,27,4.12,Afternoon,Premium,68,317.8400261
88,71,Rural,Regular,42,4.87,Afternoon,Premium,109,330.7836403
87,47,Rural,Silver,6,4.54,Morning,Premium,162,743.3166378
85,6,Suburban,Gold,92,4.11,Afternoon,Economy,73,274.1712773
98,54,Rural,Regular,34,4.57,Evening,Premium,113,462.4075929
28,14,Rural,Regular,24,4.2,Afternoon,Economy,147,533.0802632
36,9,Suburban,Silver,22,3.51,Night,Premium,37,143.2178422
20,8,Suburban,Silver,38,4.82,Night,Premium,155,574.9456425
94,36,Rural,Regular,41,4.57,Morning,Economy,76,215.7417616
94,82,Suburban,Gold,48,4.92,Morning,Premium,20,129.7685299
70,7,Urban,Regular,13,4.09,Afternoon,Economy,117,321.0007658
90,71,Suburban,Regular,37,3.51,Morning,Premium,32,172.592775
42,10,Urban,Silver,56,4.01,Night,Premium,95,455.2097852
44,18,Suburban,Gold,88,3.67,Night,Premium,50,199.8397441
60,16,Suburban,Regular,28,3.91,Evening,Economy,105,281.0970651
26,5,Rural,Silver,7,4.75,Afternoon,Premium,140,413.5480019
79,13,Rural,Regular,6,4.63,Afternoon,Economy,38,134.0943259
26,8,Rural,Gold,65,3.58,Night,Premium,89,378.5039616
62,7,Urban,Silver,2,4.71,Morning,Premium,28,162.0535855
42,16,Rural,Gold,33,3.63,Morning,Economy,166,513.1161278
57,16,Urban,Regular,0,3.95,Afternoon,Economy,97,308.6385555
33,13,Rural,Gold,34,4.78,Morning,Economy,66,239.0885465
22,10,Rural,Regular,26,4.97,Morning,Economy,170,562.1650161
67,44,Urban,Regular,27,4.69,Morning,Economy,129,467.0198949
62,15,Suburban,Silver,15,4.28,Night,Economy,73,327.4333417
95,49,Rural,Regular,92,4.27,Night,Premium,99,332.0936161
61,36,Urban,Silver,72,4.64,Night,Premium,109,457.0853189
48,12,Rural,Silver,25,4.26,Night,Economy,180,552.8162271
93,59,Rural,Regular,30,4.11,Afternoon,Premium,89,281.0521289
59,18,Urban,Gold,67,3.86,Morning,Economy,98,288.345153
95,73,Urban,Regular,20,3.59,Evening,Premium,138,666.824206
71,33,Suburban,Regular,4,4.88,Evening,Premium,109,436.0192373
20,7,Suburban,Gold,71,3.83,Morning,Premium,51,248.2203068
23,7,Urban,Gold,96,3.97,Afternoon,Premium,165,493.233884
80,69,Suburban,Silver,94,4.44,Night,Economy,74,291.5110821
58,10,Urban,Gold,51,4.27,Night,Premium,138,459.0606515
71,25,Urban,Gold,72,4.46,Evening,Economy,169,603.9358824
69,26,Rural,Gold,48,4.28,Evening,Premium,175,502.6040622
89,54,Suburban,Gold,48,4.38,Afternoon,Economy,24,74.78832689
84,62,Urban,Silver,52,4.61,Afternoon,Economy,29,126.2308115
98,61,Urban,Silver,91,4.28,Night,Economy,95,319.9423796
95,25,Urban,Gold,26,3.62,Morning,Economy,81,207.6129192
79,29,Rural,Silver,29,4.22,Night,Economy,99,304.7441779
82,10,Urban,Silver,97,4.43,Night,Economy,177,481.7658793
87,5,Rural,Gold,6,3.76,Evening,Economy,28,83.33537482
83,35,Rural,Gold,3,4.32,Night,Premium,116,513.6451022
47,9,Rural,Regular,5,4.81,Night,Premium,178,561.3748775
34,7,Urban,Silver,54,4.71,Night,Premium,149,516.5111729
26,13,Rural,Regular,14,4.19,Morning,Economy,174,666.4286806
88,7,Rural,Gold,11,3.64,Night,Premium,130,573.2085394
57,26,Rural,Regular,92,3.8,Evening,Premium,67,283.7979252
45,17,Rural,Silver,67,4.7,Afternoon,Economy,15,66.78323719
82,26,Urban,Gold,35,4.71,Morning,Economy,114,289.2390325
54,39,Rural,Gold,88,4.59,Evening,Economy,42,147.4263866
95,24,Suburban,Gold,79,3.5,Afternoon,Economy,130,552.2304431
63,31,Suburban,Silver,2,3.81,Evening,Premium,160,632.5601419
43,18,Urban,Gold,58,4.22,Evening,Economy,156,494.7452575
33,14,Suburban,Regular,87,4.81,Evening,Premium,17,118.9865334
33,23,Urban,Gold,24,4.21,Morning,Premium,11,91.38952597
84,29,Urban,Regular,92,4.55,Morning,Premium,94,424.1559867
44,6,Suburban,Gold,80,4.13,Night,Premium,40,157.3648303
53,27,Suburban,Regular,78,3.63,Night,Premium,58,279.0950483
78,63,Rural,Gold,14,4.21,Afternoon,Economy,147,655.0651055
